ID,Name,Type,Phase,Frozen,Duration,Start time,Relative time,Average rating,Round number,Division,Date
"2008","Codeforces Round 970 (Div. 3)","ICPC","FINISHED","false","8100","1725201300","17392126","1287.5","970","3","9/1/2024"
"2006","Codeforces Round 969 (Div. 1)","CF","FINISHED","false","9000","1725028500","17564926","2500","969","1","8/30/2024"
"2003","Codeforces Round 968 (Div. 2)","CF","FINISHED","false","7200","1724596500","17996926","1812.5","968","2","8/25/2024"
"2001","Codeforces Round 967 (Div. 2)","CF","FINISHED","false","7200","1724164500","18428926","1716.6666666666667","967","2","8/20/2024"
"2004","Educational Codeforces Round 169 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1723732500","18860926","1771.4285714285713","169","2","8/15/2024"
"2000","Codeforces Round 966 (Div. 3)","ICPC","FINISHED","false","8100","1723560000","19033426","1425","966","3","8/13/2024"
"1998","Codeforces Round 965 (Div. 2)","CF","FINISHED","false","7200","1723300500","19292926","1750","965","2","8/10/2024"
"1999","Codeforces Round 964 (Div. 4)","ICPC","FINISHED","false","8700","1722954900","19638525","1212.5","964","4","8/6/2024"
"1993","Codeforces Round 963 (Div. 2)","CF","FINISHED","false","7200","1722782100","19811326","1914.2857142857142","963","2","8/4/2024"
"1997","Educational Codeforces Round 168 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1722350100","20243326","1566.6666666666667","168","2","7/30/2024"
"1996","Codeforces Round 962 (Div. 3)","ICPC","FINISHED","false","9000","1722004500","20588926","1428.5714285714287","962","3","7/26/2024"
"1995","Codeforces Round 961 (Div. 2)","CF","FINISHED","false","7200","1721745300","20848126","1900","961","2","7/23/2024"
"1990","Codeforces Round 960 (Div. 2)","CF","FINISHED","false","7200","1721486100","21107326","1900","960","2","7/20/2024"
"1994","Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2)","CF","FINISHED","false","7200","1721313300","21280126","2000","959","1","7/18/2024"
"1988","Codeforces Round 958 (Div. 2)","CF","FINISHED","false","7200","1721054100","21539326","1733.3333333333333","958","2","7/15/2024"
"1992","Codeforces Round 957 (Div. 3)","ICPC","FINISHED","false","8100","1720708500","21884926","1328.5714285714287","957","3","7/11/2024"
"1983","Codeforces Round 956 (Div. 2) and ByteRace 2024","CF","FINISHED","false","8100","1720362900","22230526","1842.857142857143","956","2","7/7/2024"
"1989","Educational Codeforces Round 167 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1719498900","23094526","1766.6666666666667","167","2","6/27/2024"
"1982","Codeforces Round 955 (Div. 2, with prizes from NEAR!)","CF","FINISHED","false","7200","1719326100","23267326","1633.3333333333333","955","2","6/25/2024"
"1986","Codeforces Round 954 (Div. 3)","ICPC","FINISHED","false","8100","1719154200","23439226","1575","954","3","6/23/2024"
"1978","Codeforces Round 953 (Div. 2)","CF","FINISHED","false","7200","1718528700","24064726","1483.3333333333333","953","2","6/16/2024"
"1985","Codeforces Round 952 (Div. 4)","ICPC","FINISHED","false","9000","1718116500","24476926","1300","952","4","6/11/2024"
"1979","Codeforces Round 951 (Div. 2)","CF","FINISHED","false","7200","1717684500","24908926","1683.3333333333333","951","2","6/6/2024"
"1980","Codeforces Round 950 (Div. 3)","ICPC","FINISHED","false","8100","1717425300","25168126","1562.5","950","3","6/3/2024"
"1981","Codeforces Round 949 (Div. 2)","CF","FINISHED","false","7200","1717149900","25443526","1983.3333333333333","949","2","5/31/2024"
"1976","Educational Codeforces Round 166 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1717079700","25513726","1800","166","2","5/30/2024"
"1977","Codeforces Round 948 (Div. 2)","CF","FINISHED","false","7200","1716734100","25859326","1740","948","2","5/26/2024"
